"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","gerkmeans.cluster"
"112","Liberia",107.45090179,99.025328828,108.439680115,99.8020935084615,92.52455139,106.926186776923,93.25567627,99.63815308,102.507320695385,102.3847122,99.2726281976923,102.071920541538,95.64746857,98.5492401107143,107.39365317,2
"114","Liechtenstein",131.83740386,106.1243973,109.1522217,93.6091175125,107.5119629,107.1121674,105.5256729,105.6987076,105.4591827,104.9505005,103.8280029,29.20210075,102.6609879,98.0755265525,102.810303330769,6
"115","Lithuania",104.6699524,100.5434113,96.97093964,94.63964844,95.70108032,98.02536774,98.99343109,100.46315,100.0809097,98.66911316,99.5406723,100.9770966,102.4602203,119.897882642727,117.835006081667,2
"118","Macedonia, FYR",97.41950226,95.25422668,94.54633331,94.29434967,92.50257874,91.09217072,85.85774231,85.50847626,85.59890747,175.2441864,85.75721741,84.24507141,110.070396418182,102.70792198375,98.0755265525,6
"119","Madagascar",102.1856918,117.2645493,133.6620636,138.3220825,138.1116943,139.2682495,142.3454437,149.9517365,144.577774,144.4774628,145.1858673,145.2469635,146.744812,109.851875315385,119.897882642727,8
"120","Malawi",136.4830627,102.407495122,129.2651062,127.1659775,126.7708893,123.9610519,131.2834473,130.0533447,136.7475739,138.9832458,140.1616516,145.8815765,146.5065308,102.7480564075,119.9203861,8
"121","Malaysia",95.87081146,96.97216797,100.0126266,101.3327713,100.8308792,100.4375916,100.4269333,100.7202606,101.2435532,102.1452332,103.8284302,106.2458496,106.8787689,89.36720276,110.390663746154,2
"123","Mali",65.63153076,67.10214233,70.10105896,73.23419189,76.05522919,78.59349823,80.63246155,82.16953278,83.02407074,83.95950317,80.85401154,76.12657928,77.19281006,97.2023162966667,109.851875315385,3
"124","Malta",101.1813812,100.0662689,99.80402374,96.6810379,96.2014389,94.10749054,92.6366806,87.61451721,91.13955688,89.82202911,90.67021179,93.59790802,97.48512268,123.431042063636,102.7480564075,2
"125","Marshall Islands",120.4539185,109.7603226,120.7199326,116.0495605,115.7938995,112.272789,110.4461823,107.6528702,106.288658846364,105.4020691,113.164476253846,99.8020935084615,107.1226218,103.591889593846,89.36720276,10
"127","Mauritius",101.4913483,101.4003372,102.031311,103.2264023,103.9654999,103.6567917,103.88311,102.8646698,102.7860184,103.0405807,103.1760712,102.2215805,102.6977768,105.197178773846,97.2023162966667,2
"128","Mexico",105.5559082,105.1349335,104.1028214,103.0189438,101.7454987,101.6324463,101.8531189,102.90728,103.4065399,104.0360413,104.6514435,104.324913,103.3891983,100.845707226923,123.431042063636,7
"130","Moldova",99.47888947,99.48654175,99.82285309,97.89131165,96.65267181,94.41767883,94.02986908,93.57756042,93.54077911,93.60298157,93.79797363,93.76831055,93.06421661,99.805690012,101.86133089,2
"132","Mongolia",102.0610428,105.3989792,108.5178223,97.96661377,100.7962875,100.0192337,103.5194321,114.4853897,125.6966934,122.0638428,116.9176636,108.9292068,101.6784286,102.501325746154,100.845707226923,10
"134","Morocco",101.6416931,104.2231979,104.6127777,105.0330811,105.005722,106.9748306,107.2277832,108.1508713,112.2755127,115.0585785,116.5086823,116.7140427,116.1342468,102.507320695385,99.805690012,10
"136","Myanmar",97.29189301,99.03795624,99.01953125,98.28540039,97.83576202,97.71810913,98.45777893,97.04405975,96.72332764,54.7784591092308,105.80238038,109.102699284167,99.65828705,90.7451025146154,102.501325746154,9
"137","Namibia",113.2719574,112.6082306,109.7842178,109.0531921,108.1256332,109.6577225,108.762352,108.2280121,107.6651535,107.219228888462,109.5130005,111.4281082,114.295096725,88.8852361055555,102.507320695385,10
"139","Nepal",118.0723114,115.6102219,116.5935516,115.3215714,127.9683533,128.1320038,125.7934265,137.2763672,142.2854462,145.4078827,142.641922,138.5165405,135.2338257,135.4335022,90.7451025146154,8
"140","Netherlands",107.8956604,107.8364105,107.1230621,106.8643799,107.0931702,107.7743912,108.4541626,108.9093399,109.1568375,108.8608017,107.5799637,106.1551971,104.4383926,98.98592948,88.8852361055555,10
"141","New Caledonia",107.816223742308,111.172302225,108.311587405385,109.102699284167,100.968125562308,88.818667415,115.596854569231,101.700691917273,111.893165592308,113.626868566667,99.36423023,114.4490348,77.747855376,103.711228006154,106.288658846364,10
"142","New Zealand",97.28475189,98.35162354,98.45922852,99.62898254,100.0370712,100.3922729,100.7311172,100.8683395,101.0886536,99.81523132,98.57495117,98.51785278,98.63333893,101.772817762308,98.98592948,2
"143","Nicaragua",116.4637527,117.5403366,120.0344315,121.0668488,124.7657623,124.0885391,124.0155182,137.079817553846,123.2591782,102.911895128333,99.2752886645455,107.39365317,97.1311409681818,111.893165592308,103.711228006154,1
"149","Pakistan",75.68919373,78.20591736,83.29524231,88.12991333,84.97676086,91.18395996,92.19429779,93.98731232,95.74098206,91.97470093,91.41506958,89.81497955,93.5630722,99.37555884875,101.564505442857,3
"150","Palau",125.359395546154,110.0942917,102.884079,102.2083817,102.983223,101.4454727,104.780436204167,93.1408977525,114.0989044,59.432041485,137.488030061538,114.3845062,114.2956772,111.938149084615,116.756174716667,9
"151","Panama",109.3739319,107.9594803,108.8594513,107.289093,107.4382706,108.7027817,107.9816895,106.9187164,107.0152512,107.0668793,106.2182083,105.3258133,100.729174693077,104.148598358333,99.37555884875,10
"152","Papua New Guinea",61.67179108,57.70512009,57.2672081,58.11077881,56.40428162,100.8825441975,60.45463943,121.553132861538,101.564505442857,100.8825441975,114.7354126,117.835006081667,101.317781299231,100.968125562308,111.938149084615,3
"153","Paraguay",117.8977432,113.6182022,112.1666336,111.9390717,109.1089935,106.9852066,105.233551,104.0106964,103.926033,102.9475021,105.9861679,98.5492401107143,100.532933541667,96.8716501038462,104.148598358333,10
"154","Peru",120.4581528,118.9409866,118.0298386,117.4749298,116.8002167,116.516861,112.8914413,111.1047897,110.3650818,107.35672,101.4414215,103.1087036,101.4220963,106.61330414375,100.968125562308,10
"156","Poland",97.41285706,96.94612122,96.57723236,96.25237274,96.47019196,96.67642212,96.85621643,97.63110352,98.62190247,99.48322296,101.5202713,101.3105621,107.219228888462,101.073377331429,106.61330414375,2
"158","Puerto Rico",103.42371368,113.945419316667,100.928225203333,114.4490348,106.61330414375,84.8669246,113.164476253846,93.79328156,94.74958801,87.47731018,89.10469818,89.53308105,106.926186776923,101.295768138462,101.073377331429,2
"159","Qatar",110.7405701,113.4545135,106.0634613,102.5854874,89.62558746,95.89846802,95.15590668,97.35688782,97.41536713,101.3638306,101.30352901,98.9888860563636,113.626868566667,103.103107753846,97.8153395236364,2
"160","Romania",100.7660065,104.4556808,110.9963989,108.6860809,104.7653275,103.2036209,97.89328766,97.65133667,97.26421356,96.5918808,95.54051971,98.0755265525,102.911895128333,112.186603846154,101.295768138462,2
"161","Russian Federation",113.9620895,121.0805588,98.107210541,95.27004242,95.04656219,95.69316864,97.51965332,99.21211243,99.37555884875,100.9241104,101.1954117,100.239769,98.56413269,110.298361459167,103.103107753846,2
"162","Rwanda",114.2113113,124.4999466,134.3261261,136.598114,142.7153168,145.8513947,143.3842163,143.7927246,142.3409576,141.6907349,141.3010406,137.7434235,133.5823212,94.329858399,112.186603846154,8
"163","Samoa",104.9321213,107.4371338,108.9692078,109.3670502,108.6017303,107.9439392,96.690112302,106.4181671,110.755928,106.528717,105.1540222,119.897882642727,106.1592102,100.442752551538,110.298361459167,10
"165","Sao Tome and Principe",124.2498779,127.4460373,128.7066193,129.7504425,101.073377331429,122.923027,123.9076691,124.6228714,121.9735413,122.2981567,114.3913116,114.5774231,111.7435532,113.6001968,100.442752551538,1
"167","Senegal",70.89884949,74.75862122,76.90316772,78.73561096,78.82829285,82.3258667,82.69660187,82.20213318,81.91661072,80.97888184,81.15817261,110.390663746154,80.87622833,107.45090179,99.7787303975,3
"168","Serbia",102.1195221,101.065239,101.5549393,102.7470932,101.8395462,101.062149,100.6295776,97.68579865,95.89575958,101.4934464,100.571312,100.8955383,101.1311569,131.83740386,107.45090179,2
"169","Seychelles",105.5153503,106.3636398,102.6509933,109.0650635,101.295768138462,107.7166138,107.7378006,107.9214096,110.6714325,110.3986816,108.8441315,105.9814529,104.1484528,97.9838104209091,131.83740386,7
"170","Sierra Leone",77.5966162236364,98.6353503154545,130.306209028571,103.514560412308,103.103107753846,107.50704956,105.80238038,99.81552718,111.938149084615,125.2941437,128.3204041,130.0459595,88.818667415,109.307496869231,97.9838104209091,5
"173","Slovak Republic",99.95008087,98.94860077,98.17935181,98.63033295,100.9612427,103.4837799,104.5728989,103.7043228,102.3395081,101.3167496,101.6278915,101.757843,100.9806824,107.816223742308,69.5411115784615,4
"174","Slovenia",104.9907227,110.4789124,122.0871124,100.1774368,101.3925018,97.74684143,97.92459869,98.22000122,98.29949188,98.39272308,98.93791199,98.98313904,99.30357361,112.099577676923,107.816223742308,2
"176","Somalia",105.871530969231,106.143142733333,121.404295925,98.5492401107143,94.329858399,29.20210075,90.783150483,127.886835766667,96.8716501038462,99.4953525223077,94.6928974976923,102.7480564075,84.8669246,103.42371368,125.359395546154,7
"177","South Africa",103.1636581,102.7178192,101.8113708,99.59098816,98.18670654,98.64890289,97.71826172,96.8759613,96.25382233,96.31582642,97.62976074,98.5015564,99.72310638,98.674180602,103.42371368,2
"180","Sri Lanka",106.0275116,102.7791138,97.67597198,99.62741089,98.97540283,98.38672638,97.41358185,95.07788849,99.70716095,99.74160004,100.0958023,100.6485977,101.2704468,79.9173590358333,77.5966162236364,4
"184","St. Vincent and the Grenadines",114.4787521,119.3937073,114.1295166,118.17099,107.45090179,108.9541016,108.1314392,105.9630432,105.0352936,99.64208221,105.3229599,105.3002167,104.710289,123.546738941667,110.070396418182,10
"185","Sudan",58.37591934,59.71640015,60.87554169,61.97542191,66.28147888,65.79666138,71.12716675,70.56642151,69.89643097,67.74221802,69.11643982,70.40174866,106.9889761,107.1226218,123.546738941667,3
