"att1";"1972 [YR1972]";"1973 [YR1973]";"1974 [YR1974]";"1975 [YR1975]";"1976 [YR1976]";"1977 [YR1977]";"1978 [YR1978]";"1979 [YR1979]";"1980 [YR1980]";"1981 [YR1981]";"1982 [YR1982]";"1983 [YR1983]";"1984 [YR1984]";"1985 [YR1985]";"1986 [YR1986]";"1987 [YR1987]";"1988 [YR1988]";"1989 [YR1989]";"1990 [YR1990]";"1991 [YR1991]";"1992 [YR1992]";"1993 [YR1993]";"1994 [YR1994]";"1995 [YR1995]";"1996 [YR1996]";"1997 [YR1997]";"1998 [YR1998]";"1999 [YR1999]";"2000 [YR2000]";"2001 [YR2001]";"2002 [YR2002]";"2003 [YR2003]";"2004 [YR2004]";"2005 [YR2005]";"2006 [YR2006]";"2007 [YR2007]";"Country Name";"Series Code";"Series Name"
14459.0;;;;;;;;;;;;;;;;;;;;;;;;;;1093.0;;1155.0;1265.0;1497.0;1379.0;1347.0;;1290.0;1309.0;1309.0;"Australia";"IS.RRS.PASG.KM";"Railways, passengers carried (million passenger-km)"
14460.0;;;;;;;;;;;;;;;;;;;69.08850904289889;69.51871374125298;69.9865381752091;70.18969796076004;71.4092121730397;72.70270167170338;72.99864513541702;73.36065983842781;73.79972306031014;74.34482969086744;75.55248564930947;76.52777565850153;76.9123756098342;78.07262949325793;77.79329881280871;78.94737175800911;79.66804431928817;80.05502504267534;"Australia";"SL.TLF.CACT.FM.ZS";"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)"
14461.0;;;;;;;;;57.215833321803125;57.30769328581987;57.622735910682074;58.27901243999193;59.37090095046448;61.08179072954114;63.636361351840165;64.94023843832683;66.35638770068502;67.90450892148398;69.0476214504267;69.6117832990402;69.94609657744523;70.28494081680687;71.46739071280834;72.66576407868463;73.09782656582175;73.46101488900908;73.93690040835573;74.44751435069058;75.65698264740199;76.63421043779674;76.88022063613005;78.18182031591454;77.90209896914617;79.0568671377421;79.66804431928817;80.1652919919625;"Australia";"SL.TLF.CACT.FM.NE.ZS";"Ratio of female to male labor force participation rate (%) (national estimate)"
14462.0;99.801;99.971;100.082;99.476;99.183;99.184;99.105;99.036;98.909;98.678;98.749;98.582;98.459;99.234;99.444;99.631;99.883;99.876;99.716;99.632;99.695;99.662;99.689;99.566;99.545;99.485;99.577;99.733;99.688;99.74;99.634;99.7;99.687;99.581;99.579;99.537;"Australia";"SE.ENR.PRIM.FM.ZS";"Ratio of female to male primary enrollment (%)"
14463.0;;;;;;;;;;;;;;;;;;;;;;100.548;99.772;99.605;99.594;102.998;103.573;99.732;100.125;98.113;96.675;97.15;95.98;95.565;97.694;98.32;"Australia";"SE.ENR.SECO.FM.ZS";"Ratio of female to male secondary enrollment (%)"
14464.0;56.045;59.189;65.225;70.278;76.109;77.51;80.779;83.665;85.699;85.179;86.827;89.11;90.351;94.501;98.61;104.063;108.053;112.47;115.391;118.19;118.851;98.952;101.081;104.457;106.245;107.17;122.257;122.422;123.143;122.66;121.737;122.541;122.904;124.602;127.246;129.143;"Australia";"SE.ENR.TERT.FM.ZS";"Ratio of female to male tertiary enrollment (%)"
14465.0;;;;;;;;;;;;;;;;;;;;;;100.14;99.72;99.566;99.573;101.462;101.858;99.786;100.009;98.883;98.014;98.291;97.615;97.309;98.561;98.877;"Australia";"SE.ENR.PRSC.FM.ZS";"Ratio of girls to boys in primary and secondary education (%)"
14467.0;;;;;;;;;92.05;100.06;100.290833333333;98.3391666666667;101.420833333333;85.3825;74.6733333333333;74.4866666666667;82.0625;87.9466666666667;85.635;84.3466666666667;76.2675;71.0675;74.5908333333333;72.8775;79.73;79.29;72.5458333333333;72.8466666666667;69.7066666666667;66.8275;70.1033333333333;78.4675;84.4591666666667;87.1466666666667;86.3216666666667;91.3225;"Australia";"PX.REX.REER";"Real effective exchange rate index (2005 = 100)"
14468.0;;;;-4.266418683560262;-3.0769791098672985;-0.911042082771191;1.964240808384086;1.2590322386232202;0.4434856027769426;5.001302639262771;4.6132830696550275;3.943936467547065;5.454021254330593;12.162299504269997;11.100113778701003;8.102072066522888;6.64954182527722;9.46802723452889;12.123878211177471;11.157780767122931;8.849695662597709;8.581835675041063;8.124954038957709;8.058597086270757;7.6156769545323915;7.569627744913334;6.78891724722126;7.627394872766862;6.535606017662623;3.779914715054455;5.149352536544922;5.139097022696202;5.389489119717063;5.159072835471811;4.144226359405377;3.060769010514224;"Australia";"FR.INR.RINR";"Real interest rate (%)"
14469.0;;;;;;;;;;;;;;;;;;;97915.0;53117.0;52604.0;53505.0;57575.0;62145.0;67313.0;66074.0;69745.0;64918.0;60246.0;57895.0;59436.0;56258.0;63476.0;64964.0;68948.0;22164.0;"Australia";"SM.POP.REFG";"Refugee population by country or territory of asylum"
